"","p","Zc","T","Z"
"904",0.9,0.278,0.96,0.157
"906",0.9,0.278,1,0.538
"907",0.9,0.278,1.01,0.574
"908",0.9,0.278,1.02,0.605
"909",0.9,0.278,1.03,0.627
"910",0.9,0.278,1.04,0.647
"911",0.9,0.278,1.05,0.665
"912",0.9,0.278,1.06,0.681
"913",0.9,0.278,1.07,0.695
"914",0.9,0.278,1.08,0.708
"915",0.9,0.278,1.09,0.72
"916",0.9,0.278,1.1,0.732
"917",0.9,0.278,1.12,0.752
"918",0.9,0.278,1.14,0.771
"919",0.9,0.278,1.16,0.787
"920",0.9,0.278,1.18,0.801
"921",0.9,0.278,1.2,0.814
"922",0.9,0.278,1.3,0.864
"923",0.9,0.278,1.4,0.898
"924",0.9,0.278,1.5,0.923
"940",0.9,0.316,1.02,0.608
"941",0.9,0.316,1.03,0.628
"942",0.9,0.316,1.04,0.647
"943",0.9,0.316,1.05,0.665
"944",0.9,0.316,1.06,0.682
"945",0.9,0.316,1.07,0.695
"946",0.9,0.316,1.08,0.708
"947",0.9,0.316,1.09,0.721
"948",0.9,0.316,1.1,0.732
"949",0.9,0.316,1.12,0.752
"950",0.9,0.316,1.14,0.77
"951",0.9,0.316,1.16,0.785
"952",0.9,0.316,1.18,0.8
"953",0.9,0.316,1.2,0.812
"954",0.9,0.316,1.3,0.862
"955",0.9,0.316,1.4,0.896
"956",0.9,0.316,1.5,0.92
"957",0.9,0.316,1.6,0.939
"958",0.9,0.316,1.7,0.953
"959",0.9,0.316,1.8,0.964
"960",0.9,0.316,1.9,0.972
"961",1,0.244,0.5,0.157
"962",1,0.244,0.6,0.14
"963",1,0.244,0.7,0.129
"964",1,0.244,0.8,0.125
"965",1,0.244,0.9,0.128
"966",1,0.244,0.92,0.13
"967",1,0.244,0.94,0.134
"968",1,0.244,0.96,0.139
"969",1,0.244,0.98,0.152
"970",1,0.244,1,0.244
"971",1,0.244,1.01,0.43
"972",1,0.244,1.02,0.482
"973",1,0.244,1.03,0.528
"974",1,0.244,1.04,0.566
"975",1,0.244,1.05,0.592
"976",1,0.244,1.06,0.618
"977",1,0.244,1.07,0.638
"978",1,0.244,1.08,0.657
"979",1,0.244,1.09,0.674
"980",1,0.244,1.1,0.689
"981",1,0.244,1.12,0.716
"982",1,0.244,1.14,0.74
"983",1,0.244,1.16,0.76
"984",1,0.244,1.18,0.778
"985",1,0.244,1.2,0.795
"986",1,0.244,1.3,0.856
"987",1,0.244,1.4,0.896
"988",1,0.244,1.5,0.923
"989",1,0.244,1.6,0.942
"990",1,0.244,1.7,0.954
"991",1,0.244,1.8,0.962
"996",1,0.278,0.8,0.156
"997",1,0.278,0.9,0.158
"998",1,0.278,0.92,0.161
"999",1,0.278,0.94,0.164
"1000",1,0.278,0.96,0.171
"1002",1,0.278,1,0.278
"1003",1,0.278,1.01,0.454
"1004",1,0.278,1.02,0.516
"1005",1,0.278,1.03,0.552
"1006",1,0.278,1.04,0.584
"1007",1,0.278,1.05,0.609
"1008",1,0.278,1.06,0.619
"1009",1,0.278,1.07,0.646
"1010",1,0.278,1.08,0.662
"1011",1,0.278,1.09,0.679
"1012",1,0.278,1.1,0.693
"1013",1,0.278,1.12,0.719
"1014",1,0.278,1.14,0.741
"1015",1,0.278,1.16,0.76
"1016",1,0.278,1.18,0.777
"1017",1,0.278,1.2,0.792
"1018",1,0.278,1.3,0.849
"1019",1,0.278,1.4,0.886
"1020",1,0.278,1.5,0.914
"1034",1,0.316,1,0.316
"1036",1,0.316,1.02,0.515
"1037",1,0.316,1.03,0.548
"1038",1,0.316,1.04,0.577
"1039",1,0.316,1.05,0.605
"1040",1,0.316,1.06,0.63
"1041",1,0.316,1.07,0.647
"1042",1,0.316,1.08,0.663
"1043",1,0.316,1.09,0.68
"1044",1,0.316,1.1,0.694
"1045",1,0.316,1.12,0.718
"1046",1,0.316,1.14,0.739
"1047",1,0.316,1.16,0.758
"1048",1,0.316,1.18,0.775
"1049",1,0.316,1.2,0.79
"1050",1,0.316,1.3,0.846
"1051",1,0.316,1.4,0.885
"1052",1,0.316,1.5,0.912
"1053",1,0.316,1.6,0.932
"1054",1,0.316,1.7,0.948
"1055",1,0.316,1.8,0.96
"1056",1,0.316,1.9,0.97
"1057",1.05,0.244,0.5,0.165
"1058",1.05,0.244,0.6,0.146
"1059",1.05,0.244,0.7,0.136
"1060",1.05,0.244,0.8,0.131
"1061",1.05,0.244,0.9,0.134
"1062",1.05,0.244,0.92,0.136
"1063",1.05,0.244,0.94,0.14
"1064",1.05,0.244,0.96,0.145
"1065",1.05,0.244,0.98,0.156
"1066",1.05,0.244,1,0.185
"1067",1.05,0.244,1.01,0.353
"1068",1.05,0.244,1.02,0.419
"1069",1.05,0.244,1.03,0.482
"1070",1.05,0.244,1.04,0.531
"1071",1.05,0.244,1.05,0.562
"1072",1.05,0.244,1.06,0.591
"1073",1.05,0.244,1.07,0.613
"1074",1.05,0.244,1.08,0.634
"1075",1.05,0.244,1.09,0.653
"1076",1.05,0.244,1.1,0.669
"1077",1.05,0.244,1.12,0.699
"1078",1.05,0.244,1.14,0.725
"1079",1.05,0.244,1.16,0.747
"1080",1.05,0.244,1.18,0.766
"1081",1.05,0.244,1.2,0.784
"1082",1.05,0.244,1.3,0.849
"1083",1.05,0.244,1.4,0.891
"1084",1.05,0.244,1.5,0.92
"1085",1.05,0.244,1.6,0.939
"1086",1.05,0.244,1.7,0.952
"1087",1.05,0.244,1.8,0.961
"1092",1.05,0.278,0.8,0.164
"1093",1.05,0.278,0.9,0.166
"1094",1.05,0.278,0.92,0.168
"1095",1.05,0.278,0.94,0.172
"1096",1.05,0.278,0.96,0.178
"1097",1.05,0.278,0.98,0.188
"1098",1.05,0.278,1,0.213
"1099",1.05,0.278,1.01,0.365
"1100",1.05,0.278,1.02,0.452
"1101",1.05,0.278,1.03,0.502
"1102",1.05,0.278,1.04,0.546
"1103",1.05,0.278,1.05,0.576
"1104",1.05,0.278,1.06,0.6
"1105",1.05,0.278,1.07,0.619
"1106",1.05,0.278,1.08,0.638
"1107",1.05,0.278,1.09,0.656
"1108",1.05,0.278,1.1,0.672
"1109",1.05,0.278,1.12,0.701
"1110",1.05,0.278,1.14,0.725
"1111",1.05,0.278,1.16,0.746
"1112",1.05,0.278,1.18,0.764
"1113",1.05,0.278,1.2,0.781
"1114",1.05,0.278,1.3,0.841
"1115",1.05,0.278,1.4,0.881
"1116",1.05,0.278,1.5,0.91
"1132",1.05,0.316,1.02,0.453
"1133",1.05,0.316,1.03,0.492
"1134",1.05,0.316,1.04,0.531
"1135",1.05,0.316,1.05,0.569
"1136",1.05,0.316,1.06,0.601
"1137",1.05,0.316,1.07,0.62
"1138",1.05,0.316,1.08,0.639
"1139",1.05,0.316,1.09,0.658
"1140",1.05,0.316,1.1,0.673
"1141",1.05,0.316,1.12,0.7
"1142",1.05,0.316,1.14,0.724
"1143",1.05,0.316,1.16,0.744
"1144",1.05,0.316,1.18,0.762
"1145",1.05,0.316,1.2,0.778
"1146",1.05,0.316,1.3,0.839
"1147",1.05,0.316,1.4,0.879
"1148",1.05,0.316,1.5,0.908
"1149",1.05,0.316,1.6,0.929
"1150",1.05,0.316,1.7,0.946
"1151",1.05,0.316,1.8,0.958
"1152",1.05,0.316,1.9,0.969
"1153",1.1,0.244,0.5,0.173
"1154",1.1,0.244,0.6,0.153
"1155",1.1,0.244,0.7,0.142
"1156",1.1,0.244,0.8,0.137
"1157",1.1,0.244,0.9,0.14
"1158",1.1,0.244,0.92,0.142
"1159",1.1,0.244,0.94,0.146
"1160",1.1,0.244,0.96,0.151
"1161",1.1,0.244,0.98,0.161
"1162",1.1,0.244,1,0.18
"1163",1.1,0.244,1.01,0.275
"1164",1.1,0.244,1.02,0.351
"1165",1.1,0.244,1.03,0.429
"1166",1.1,0.244,1.04,0.49
"1167",1.1,0.244,1.05,0.526
"1168",1.1,0.244,1.06,0.562
"1169",1.1,0.244,1.07,0.587
"1170",1.1,0.244,1.08,0.61
"1171",1.1,0.244,1.09,0.631
"1172",1.1,0.244,1.1,0.649
"1173",1.1,0.244,1.12,0.682
"1174",1.1,0.244,1.14,0.709
"1175",1.1,0.244,1.16,0.733
"1176",1.1,0.244,1.18,0.754
"1177",1.1,0.244,1.2,0.772
"1178",1.1,0.244,1.3,0.841
"1179",1.1,0.244,1.4,0.886
"1180",1.1,0.244,1.5,0.916
"1181",1.1,0.244,1.6,0.937
"1182",1.1,0.244,1.7,0.951
"1183",1.1,0.244,1.8,0.96
"1188",1.1,0.278,0.8,0.171
"1189",1.1,0.278,0.9,0.173
"1190",1.1,0.278,0.92,0.175
"1191",1.1,0.278,0.94,0.179
"1192",1.1,0.278,0.96,0.184
"1193",1.1,0.278,0.98,0.194
"1194",1.1,0.278,1,0.215
"1195",1.1,0.278,1.01,0.294
"1196",1.1,0.278,1.02,0.384
"1197",1.1,0.278,1.03,0.449
"1198",1.1,0.278,1.04,0.504
"1199",1.1,0.278,1.05,0.54
"1200",1.1,0.278,1.06,0.569
"1201",1.1,0.278,1.07,0.592
"1202",1.1,0.278,1.08,0.613
"1203",1.1,0.278,1.09,0.634
"1204",1.1,0.278,1.1,0.651
"1205",1.1,0.278,1.12,0.683
"1206",1.1,0.278,1.14,0.709
"1207",1.1,0.278,1.16,0.732
"1208",1.1,0.278,1.18,0.752
"1209",1.1,0.278,1.2,0.769
"1210",1.1,0.278,1.3,0.834
"1211",1.1,0.278,1.4,0.876
"1212",1.1,0.278,1.5,0.906
"1228",1.1,0.316,1.02,0.363
"1229",1.1,0.316,1.03,0.419
"1230",1.1,0.316,1.04,0.474
"1231",1.1,0.316,1.05,0.527
"1232",1.1,0.316,1.06,0.569
"1233",1.1,0.316,1.07,0.591
"1234",1.1,0.316,1.08,0.613
"1235",1.1,0.316,1.09,0.635
"1236",1.1,0.316,1.1,0.652
"1237",1.1,0.316,1.12,0.68
"1238",1.1,0.316,1.14,0.708
"1239",1.1,0.316,1.16,0.729
"1240",1.1,0.316,1.18,0.749
"1241",1.1,0.316,1.2,0.766
"1242",1.1,0.316,1.3,0.831
"1243",1.1,0.316,1.4,0.874
"1244",1.1,0.316,1.5,0.904
"1245",1.1,0.316,1.6,0.926
"1246",1.1,0.316,1.7,0.943
"1247",1.1,0.316,1.8,0.957
"1248",1.1,0.316,1.9,0.967
"1249",1.15,0.244,0.5,0.18
"1250",1.15,0.244,0.6,0.16
"1251",1.15,0.244,0.7,0.149
"1252",1.15,0.244,0.8,0.143
"1253",1.15,0.244,0.9,0.146
"1254",1.15,0.244,0.92,0.148
"1255",1.15,0.244,0.94,0.152
"1256",1.15,0.244,0.96,0.157
"1257",1.15,0.244,0.98,0.166
"1258",1.15,0.244,1,0.188
"1259",1.15,0.244,1.01,0.202
"1260",1.15,0.244,1.02,0.284
"1261",1.15,0.244,1.03,0.376
"1262",1.15,0.244,1.04,0.447
"1263",1.15,0.244,1.05,0.49
"1264",1.15,0.244,1.06,0.532
"1265",1.15,0.244,1.07,0.56
"1266",1.15,0.244,1.08,0.586
"1267",1.15,0.244,1.09,0.609
"1268",1.15,0.244,1.1,0.629
"1269",1.15,0.244,1.12,0.664
"1270",1.15,0.244,1.14,0.694
"1271",1.15,0.244,1.16,0.719
"1272",1.15,0.244,1.18,0.741
"1273",1.15,0.244,1.2,0.761
"1274",1.15,0.244,1.3,0.834
"1275",1.15,0.244,1.4,0.881
"1276",1.15,0.244,1.5,0.913
"1277",1.15,0.244,1.6,0.934
"1278",1.15,0.244,1.7,0.949
"1279",1.15,0.244,1.8,0.959
"1284",1.15,0.278,0.8,0.179
"1285",1.15,0.278,0.9,0.18
"1286",1.15,0.278,0.92,0.183
"1287",1.15,0.278,0.94,0.186
"1288",1.15,0.278,0.96,0.191
"1289",1.15,0.278,0.98,0.2
"1290",1.15,0.278,1,0.218
"1291",1.15,0.278,1.01,0.261
"1292",1.15,0.278,1.02,0.311
"1293",1.15,0.278,1.03,0.387
"1294",1.15,0.278,1.04,0.453
"1295",1.15,0.278,1.05,0.5
"1296",1.15,0.278,1.06,0.536
"1297",1.15,0.278,1.07,0.563
"1298",1.15,0.278,1.08,0.587
"1299",1.15,0.278,1.09,0.61
"1300",1.15,0.278,1.1,0.63
"1301",1.15,0.278,1.12,0.664
"1302",1.15,0.278,1.14,0.693
"1303",1.15,0.278,1.16,0.717
"1304",1.15,0.278,1.18,0.739
"1305",1.15,0.278,1.2,0.758
"1306",1.15,0.278,1.3,0.826
"1307",1.15,0.278,1.4,0.87
"1308",1.15,0.278,1.5,0.902
"1324",1.15,0.316,1.02,0.303
"1325",1.15,0.316,1.03,0.366
"1326",1.15,0.316,1.04,0.427
"1327",1.15,0.316,1.05,0.488
"1328",1.15,0.316,1.06,0.535
"1329",1.15,0.316,1.07,0.561
"1330",1.15,0.316,1.08,0.586
"1331",1.15,0.316,1.09,0.611
"1332",1.15,0.316,1.1,0.63
"1333",1.15,0.316,1.12,0.663
"1334",1.15,0.316,1.14,0.691
"1335",1.15,0.316,1.16,0.714
"1336",1.15,0.316,1.18,0.736
"1337",1.15,0.316,1.2,0.754
"1338",1.15,0.316,1.3,0.823
"1339",1.15,0.316,1.4,0.868
"1340",1.15,0.316,1.5,0.9
"1341",1.15,0.316,1.6,0.923
"1342",1.15,0.316,1.7,0.941
"1343",1.15,0.316,1.8,0.955
"1344",1.15,0.316,1.9,0.966
"1345",1.2,0.244,0.5,0.188
"1346",1.2,0.244,0.6,0.167
"1347",1.2,0.244,0.7,0.155
"1348",1.2,0.244,0.8,0.149
"1349",1.2,0.244,0.9,0.152
"1350",1.2,0.244,0.92,0.154
"1351",1.2,0.244,0.94,0.157
"1352",1.2,0.244,0.96,0.162
"1353",1.2,0.244,0.98,0.171
"1354",1.2,0.244,1,0.189
"1355",1.2,0.244,1.01,0.201
"1356",1.2,0.244,1.02,0.263
"1357",1.2,0.244,1.03,0.333
"1358",1.2,0.244,1.04,0.395
"1359",1.2,0.244,1.05,0.447
"1360",1.2,0.244,1.06,0.499
"1361",1.2,0.244,1.07,0.531
"1362",1.2,0.244,1.08,0.56
"1363",1.2,0.244,1.09,0.586
"1364",1.2,0.244,1.1,0.608
"1365",1.2,0.244,1.12,0.646
"1366",1.2,0.244,1.14,0.678
"1367",1.2,0.244,1.16,0.706
"1368",1.2,0.244,1.18,0.729
"1369",1.2,0.244,1.2,0.75
"1370",1.2,0.244,1.3,0.827
"1371",1.2,0.244,1.4,0.876
"1372",1.2,0.244,1.5,0.909
"1373",1.2,0.244,1.6,0.932
"1374",1.2,0.244,1.7,0.948
"1375",1.2,0.244,1.8,0.958
"1380",1.2,0.278,0.8,0.186
"1381",1.2,0.278,0.9,0.188
"1382",1.2,0.278,0.92,0.19
"1383",1.2,0.278,0.94,0.193
"1384",1.2,0.278,0.96,0.198
"1385",1.2,0.278,0.98,0.206
"1386",1.2,0.278,1,0.221
"1387",1.2,0.278,1.01,0.24
"1388",1.2,0.278,1.02,0.28
"1389",1.2,0.278,1.03,0.336
"1390",1.2,0.278,1.04,0.403
"1391",1.2,0.278,1.05,0.458
"1392",1.2,0.278,1.06,0.501
"1393",1.2,0.278,1.07,0.533
"1394",1.2,0.278,1.08,0.561
"1395",1.2,0.278,1.09,0.587
"1396",1.2,0.278,1.1,0.608
"1397",1.2,0.278,1.12,0.645
"1398",1.2,0.278,1.14,0.676
"1399",1.2,0.278,1.16,0.703
"1400",1.2,0.278,1.18,0.726
"1401",1.2,0.278,1.2,0.746
"1402",1.2,0.278,1.3,0.819
"1403",1.2,0.278,1.4,0.865
"1404",1.2,0.278,1.5,0.898
"1420",1.2,0.316,1.02,0.279
"1421",1.2,0.316,1.03,0.338
"1422",1.2,0.316,1.04,0.396
"1423",1.2,0.316,1.05,0.452
"1424",1.2,0.316,1.06,0.499
"1425",1.2,0.316,1.07,0.528
"1426",1.2,0.316,1.08,0.557
"1427",1.2,0.316,1.09,0.586
"1428",1.2,0.316,1.1,0.608
"1429",1.2,0.316,1.12,0.643
"1430",1.2,0.316,1.14,0.674
"1431",1.2,0.316,1.16,0.699
"1432",1.2,0.316,1.18,0.723
"1433",1.2,0.316,1.2,0.743
"1434",1.2,0.316,1.3,0.815
"1435",1.2,0.316,1.4,0.863
"1436",1.2,0.316,1.5,0.896
"1437",1.2,0.316,1.6,0.92
"1438",1.2,0.316,1.7,0.939
"1439",1.2,0.316,1.8,0.953
"1440",1.2,0.316,1.9,0.965
"1441",1.25,0.244,0.5,0.196
"1442",1.25,0.244,0.6,0.174
"1443",1.25,0.244,0.7,0.161
"1444",1.25,0.244,0.8,0.155
"1445",1.25,0.244,0.9,0.158
"1446",1.25,0.244,0.92,0.16
"1447",1.25,0.244,0.94,0.163
"1448",1.25,0.244,0.96,0.168
"1449",1.25,0.244,0.98,0.176
"1450",1.25,0.244,1,0.191
"1451",1.25,0.244,1.01,0.2
"1452",1.25,0.244,1.02,0.245
"1453",1.25,0.244,1.03,0.294
"1454",1.25,0.244,1.04,0.347
"1455",1.25,0.244,1.05,0.406
"1456",1.25,0.244,1.06,0.465
"1457",1.25,0.244,1.07,0.501
"1458",1.25,0.244,1.08,0.534
"1459",1.25,0.244,1.09,0.563
"1460",1.25,0.244,1.1,0.587
"1461",1.25,0.244,1.12,0.628
"1462",1.25,0.244,1.14,0.662
"1463",1.25,0.244,1.16,0.692
"1464",1.25,0.244,1.18,0.716
"1465",1.25,0.244,1.2,0.738
"1466",1.25,0.244,1.3,0.819
"1467",1.25,0.244,1.4,0.871
"1468",1.25,0.244,1.5,0.906
"1469",1.25,0.244,1.6,0.93
"1470",1.25,0.244,1.7,0.946
"1471",1.25,0.244,1.8,0.957
"1476",1.25,0.278,0.8,0.194
"1477",1.25,0.278,0.9,0.195
"1478",1.25,0.278,0.92,0.197
"1479",1.25,0.278,0.94,0.2
"1480",1.25,0.278,0.96,0.205
"1481",1.25,0.278,0.98,0.213
"1482",1.25,0.278,1,0.226
"1483",1.25,0.278,1.01,0.24
"1484",1.25,0.278,1.02,0.257
"1485",1.25,0.278,1.03,0.304
"1486",1.25,0.278,1.04,0.355
"1487",1.25,0.278,1.05,0.414
"1488",1.25,0.278,1.06,0.463
"1489",1.25,0.278,1.07,0.501
"1490",1.25,0.278,1.08,0.533
"1491",1.25,0.278,1.09,0.562
"1492",1.25,0.278,1.1,0.585
"1493",1.25,0.278,1.12,0.626
"1494",1.25,0.278,1.14,0.66
"1495",1.25,0.278,1.16,0.688
"1496",1.25,0.278,1.18,0.713
"1497",1.25,0.278,1.2,0.734
"1498",1.25,0.278,1.3,0.811
"1499",1.25,0.278,1.4,0.86
"1500",1.25,0.278,1.5,0.895
"1516",1.25,0.316,1.02,0.272
"1517",1.25,0.316,1.03,0.322
"1518",1.25,0.316,1.04,0.37
"1519",1.25,0.316,1.05,0.418
"1520",1.25,0.316,1.06,0.46
"1521",1.25,0.316,1.07,0.494
"1522",1.25,0.316,1.08,0.527
"1523",1.25,0.316,1.09,0.559
"1524",1.25,0.316,1.1,0.585
"1525",1.25,0.316,1.12,0.624
"1526",1.25,0.316,1.14,0.658
"1527",1.25,0.316,1.16,0.685
"1528",1.25,0.316,1.18,0.709
"1529",1.25,0.316,1.2,0.731
"1530",1.25,0.316,1.3,0.808
"1531",1.25,0.316,1.4,0.857
"1532",1.25,0.316,1.5,0.892
"1533",1.25,0.316,1.6,0.917
"1534",1.25,0.316,1.7,0.937
"1535",1.25,0.316,1.8,0.952
"1536",1.25,0.316,1.9,0.964
"1537",1.3,0.244,0.5,0.204
"1538",1.3,0.244,0.6,0.181
"1539",1.3,0.244,0.7,0.168
"1540",1.3,0.244,0.8,0.161
"1541",1.3,0.244,0.9,0.164
"1542",1.3,0.244,0.92,0.166
"1543",1.3,0.244,0.94,0.169
"1544",1.3,0.244,0.96,0.174
"1545",1.3,0.244,0.98,0.182
"1546",1.3,0.244,1,0.195
"1547",1.3,0.244,1.01,0.203
"1548",1.3,0.244,1.02,0.233
"1549",1.3,0.244,1.03,0.265
"1550",1.3,0.244,1.04,0.309
"1551",1.3,0.244,1.05,0.37
"1552",1.3,0.244,1.06,0.43
"1553",1.3,0.244,1.07,0.469
"1554",1.3,0.244,1.08,0.507
"1555",1.3,0.244,1.09,0.539
"1556",1.3,0.244,1.1,0.565
"1557",1.3,0.244,1.12,0.61
"1558",1.3,0.244,1.14,0.646
"1559",1.3,0.244,1.16,0.678
"1560",1.3,0.244,1.18,0.704
"1561",1.3,0.244,1.2,0.727
"1562",1.3,0.244,1.3,0.812
"1563",1.3,0.244,1.4,0.866
"1564",1.3,0.244,1.5,0.902
"1565",1.3,0.244,1.6,0.927
"1566",1.3,0.244,1.7,0.945
"1567",1.3,0.244,1.8,0.956
"1572",1.3,0.278,0.8,0.201
"1573",1.3,0.278,0.9,0.202
"1574",1.3,0.278,0.92,0.204
"1575",1.3,0.278,0.94,0.208
"1576",1.3,0.278,0.96,0.212
"1577",1.3,0.278,0.98,0.219
"1578",1.3,0.278,1,0.231
"1579",1.3,0.278,1.01,0.242
"1580",1.3,0.278,1.02,0.254
"1581",1.3,0.278,1.03,0.283
"1582",1.3,0.278,1.04,0.32
"1583",1.3,0.278,1.05,0.377
"1584",1.3,0.278,1.06,0.427
"1585",1.3,0.278,1.07,0.47
"1586",1.3,0.278,1.08,0.505
"1587",1.3,0.278,1.09,0.537
"1588",1.3,0.278,1.1,0.562
"1589",1.3,0.278,1.12,0.607
"1590",1.3,0.278,1.14,0.643
"1591",1.3,0.278,1.16,0.674
"1592",1.3,0.278,1.18,0.7
"1593",1.3,0.278,1.2,0.722
"1594",1.3,0.278,1.3,0.804
"1595",1.3,0.278,1.4,0.855
"1596",1.3,0.278,1.5,0.891
"1612",1.3,0.316,1.02,0.27
"1613",1.3,0.316,1.03,0.309
"1614",1.3,0.316,1.04,0.348
"1615",1.3,0.316,1.05,0.385
"1616",1.3,0.316,1.06,0.423
"1617",1.3,0.316,1.07,0.46
"1618",1.3,0.316,1.08,0.497
"1619",1.3,0.316,1.09,0.533
"1620",1.3,0.316,1.1,0.561
"1621",1.3,0.316,1.12,0.604
"1622",1.3,0.316,1.14,0.641
"1623",1.3,0.316,1.16,0.67
"1624",1.3,0.316,1.18,0.696
"1625",1.3,0.316,1.2,0.719
"1626",1.3,0.316,1.3,0.8
"1627",1.3,0.316,1.4,0.852
"1628",1.3,0.316,1.5,0.888
"1629",1.3,0.316,1.6,0.914
"1630",1.3,0.316,1.7,0.934
"1631",1.3,0.316,1.8,0.95
"1632",1.3,0.316,1.9,0.963
"1633",1.35,0.244,0.5,0.212
"1634",1.35,0.244,0.6,0.188
"1635",1.35,0.244,0.7,0.174
"1636",1.35,0.244,0.8,0.167
"1637",1.35,0.244,0.9,0.17
"1638",1.35,0.244,0.92,0.172
"1639",1.35,0.244,0.94,0.175
"1640",1.35,0.244,0.96,0.18
"1641",1.35,0.244,0.98,0.187
"1642",1.35,0.244,1,0.199
"1643",1.35,0.244,1.01,0.206
"1644",1.35,0.244,1.02,0.226
"1645",1.35,0.244,1.03,0.248
"1646",1.35,0.244,1.04,0.284
"1647",1.35,0.244,1.05,0.34
"1648",1.35,0.244,1.06,0.396
"1649",1.35,0.244,1.07,0.439
"1650",1.35,0.244,1.08,0.48
"1651",1.35,0.244,1.09,0.514
"1652",1.35,0.244,1.1,0.542
"1653",1.35,0.244,1.12,0.591
"1654",1.35,0.244,1.14,0.63
"1655",1.35,0.244,1.16,0.663
"1656",1.35,0.244,1.18,0.691
"1657",1.35,0.244,1.2,0.71
"1658",1.35,0.244,1.3,0.805
"1659",1.35,0.244,1.4,0.861
"1660",1.35,0.244,1.5,0.899
"1661",1.35,0.244,1.6,0.925
"1662",1.35,0.244,1.7,0.943
"1663",1.35,0.244,1.8,0.955
"1668",1.35,0.278,0.8,0.209
"1669",1.35,0.278,0.9,0.21
"1670",1.35,0.278,0.92,0.212
"1671",1.35,0.278,0.94,0.215
"1672",1.35,0.278,0.96,0.219
"1673",1.35,0.278,0.98,0.226
"1674",1.35,0.278,1,0.237
"1675",1.35,0.278,1.01,0.246
"1676",1.35,0.278,1.02,0.256
"1677",1.35,0.278,1.03,0.277
"1678",1.35,0.278,1.04,0.305
"1679",1.35,0.278,1.05,0.349
"1680",1.35,0.278,1.06,0.394
"1681",1.35,0.278,1.07,0.439
"1682",1.35,0.278,1.08,0.477
"1683",1.35,0.278,1.09,0.512
"1684",1.35,0.278,1.1,0.539
"1685",1.35,0.278,1.12,0.588
"1686",1.35,0.278,1.14,0.626
"1687",1.35,0.278,1.16,0.659
"1688",1.35,0.278,1.18,0.687
"1689",1.35,0.278,1.2,0.711
"1690",1.35,0.278,1.3,0.796
"1691",1.35,0.278,1.4,0.85
"1692",1.35,0.278,1.5,0.888
"1708",1.35,0.316,1.02,0.272
"1709",1.35,0.316,1.03,0.302
"1710",1.35,0.316,1.04,0.332
"1711",1.35,0.316,1.05,0.361
"1712",1.35,0.316,1.06,0.394
"1713",1.35,0.316,1.07,0.433
"1714",1.35,0.316,1.08,0.471
"1715",1.35,0.316,1.09,0.509
"1716",1.35,0.316,1.1,0.538
"1717",1.35,0.316,1.12,0.584
"1718",1.35,0.316,1.14,0.623
"1719",1.35,0.316,1.16,0.655
"1720",1.35,0.316,1.18,0.683
"1721",1.35,0.316,1.2,0.707
"1722",1.35,0.316,1.3,0.792
"1723",1.35,0.316,1.4,0.847
"1724",1.35,0.316,1.5,0.884
"1725",1.35,0.316,1.6,0.912
"1726",1.35,0.316,1.7,0.932
"1727",1.35,0.316,1.8,0.949
"1728",1.35,0.316,1.9,0.962
"1729",1.4,0.244,0.5,0.219
"1730",1.4,0.244,0.6,0.195
"1731",1.4,0.244,0.7,0.18
"1732",1.4,0.244,0.8,0.173
"1733",1.4,0.244,0.9,0.175
"1734",1.4,0.244,0.92,0.178
"1735",1.4,0.244,0.94,0.181
"1736",1.4,0.244,0.96,0.185
"1737",1.4,0.244,0.98,0.192
"1738",1.4,0.244,1,0.204
"1739",1.4,0.244,1.01,0.21
"1740",1.4,0.244,1.02,0.225
"1741",1.4,0.244,1.03,0.242
"1742",1.4,0.244,1.04,0.27
"1743",1.4,0.244,1.05,0.317
"1744",1.4,0.244,1.06,0.363
"1745",1.4,0.244,1.07,0.408
"1746",1.4,0.244,1.08,0.452
"1747",1.4,0.244,1.09,0.49
"1748",1.4,0.244,1.1,0.52
"1749",1.4,0.244,1.12,0.572
"1750",1.4,0.244,1.14,0.614
"1751",1.4,0.244,1.16,0.649
"1752",1.4,0.244,1.18,0.679
"1753",1.4,0.244,1.2,0.704
"1754",1.4,0.244,1.3,0.797
"1755",1.4,0.244,1.4,0.856
"1756",1.4,0.244,1.5,0.895
"1757",1.4,0.244,1.6,0.923
"1758",1.4,0.244,1.7,0.942
"1759",1.4,0.244,1.8,0.954
"1764",1.4,0.278,0.8,0.216
"1765",1.4,0.278,0.9,0.217
"1766",1.4,0.278,0.92,0.219
"1767",1.4,0.278,0.94,0.222
"1768",1.4,0.278,0.96,0.226
"1769",1.4,0.278,0.98,0.232
"1770",1.4,0.278,1,0.243
"1771",1.4,0.278,1.01,0.251
"1772",1.4,0.278,1.02,0.259
"1773",1.4,0.278,1.03,0.275
"1774",1.4,0.278,1.04,0.295
"1775",1.4,0.278,1.05,0.328
"1776",1.4,0.278,1.06,0.367
"1777",1.4,0.278,1.07,0.412
"1778",1.4,0.278,1.08,0.451
"1779",1.4,0.278,1.09,0.488
"1780",1.4,0.278,1.1,0.517
"1781",1.4,0.278,1.12,0.568
"1782",1.4,0.278,1.14,0.61
"1783",1.4,0.278,1.16,0.644
"1784",1.4,0.278,1.18,0.674
"1785",1.4,0.278,1.2,0.699
"1786",1.4,0.278,1.3,0.789
"1787",1.4,0.278,1.4,0.845
